SYMBOL,NAME OF COMPANY
SUMIT,Sumit Woods Limited
SUMMITSEC,Summit Securities Limited
SUNCLAYLTD,Sundaram Clayton Limited
SUNDARAM,Sundaram Multi Pap Limited
SUNDARMFIN,Sundaram Finance Limited
SUNDARMHLD,Sundaram Finance Holdings Limited
SUNDRMBRAK,Sundaram Brake Linings Limited
SUNDRMFAST,Sundram Fasteners Limited
SUNFLAG,Sunflag Iron And Steel Company Limited
SUNPHARMA,Sun Pharmaceutical Industries Limited
SUNTECK,Sunteck Realty Limited
SUNTV,Sun TV Network Limited
SUPERHOUSE,Superhouse Limited
SUPERSPIN,Super Spinning Mills Limited
SUPPETRO,Supreme Petrochem Limited
SUPRAJIT,Suprajit Engineering Limited
SUPREMEENG,Supreme Engineering Limited
SUPREMEIND,Supreme Industries Limited
SURANASOL,Surana Solar Limited
SURANAT&P,Surana Telecom and Power Limited
SURYALAXMI,Suryalakshmi Cotton Mills Limited
SURYAROSNI,Surya Roshni Limited
SURYODAY,Suryoday Small Finance Bank Limited
SUTLEJTEX,Sutlej Textiles and Industries Limited
SUULD,Suumaya Industries Limited
SUVEN,Suven Life Sciences Limited
SUVENPHAR,Suven Pharmaceuticals Limited
SUVIDHAA,Suvidhaa Infoserve Limited
SUZLON,Suzlon Energy Limited
SVPGLOB,SVP Global Ventures Limited
SWANENERGY,Swan Energy Limited
SWARAJENG,Swaraj Engines Limited
SWELECTES,Swelect Energy Systems Limited
SWSOLAR,Sterling And Wilson Solar Limited
SYMPHONY,Symphony Limited
SYNGENE,Syngene International Limited
TAINWALCHM,Tainwala Chemical and Plastic (I) Limited
TAJGVK,Taj GVK Hotels & Resorts Limited
TAKE,Take Solutions Limited
TALBROAUTO,Talbros Automotive Components Limited
TANLA,Tanla Platforms Limited
TANTIACONS,Tantia Constructions Limited
TARAPUR,Tarapur Transformers Limited
TARC,Anant Raj Global Limited
TARMAT,Tarmat Limited
TASTYBITE,Tasty Bite Eatables Limited
TATACHEM,Tata Chemicals Limited
TATACOFFEE,Tata Coffee Limited
TATACOMM,Tata Communications Limited
TATACONSUM,TATA CONSUMER PRODUCTS LIMITED
TATAELXSI,Tata Elxsi Limited
TATAINVEST,Tata Investment Corporation Limited
TATAMETALI,Tata Metaliks Limited
TATAMOTORS,Tata Motors Limited
TATAMTRDVR,Tata Motors Limited
TATAPOWER,Tata Power Company Limited
TATASTEEL,Tata Steel Limited
TATASTLBSL,Tata Steel Bsl Limited
TATASTLLP,Tata Steel Long Products Limited
TATVA,Tatva Chintan Pharma Chem Limited
TBZ,Tribhovandas Bhimji Zaveri Limited
TCI,Transport Corporation of India Limited
TCIDEVELOP,TCI Developers Limited
TCIEXP,TCI Express Limited
TCIFINANCE,TCI Finance Limited
TCNSBRANDS,TCNS Clothing Co. Limited
TCPLPACK,TCPL Packaging Limited
TCS,Tata Consultancy Services Limited
TDPOWERSYS,TD Power Systems Limited
TEAMLEASE,Teamlease Services Limited
TECHIN,Techindia Nirman Limited
TECHM,Tech Mahindra Limited
TECHNOE,Techno Electric & Engineering Company Limited
TEJASNET,Tejas Networks Limited
TEMBO,Tembo Global Industries Limited
TERASOFT,Tera Software Limited
TEXINFRA,Texmaco Infrastructure & Holdings Limited
TEXMOPIPES,Texmo Pipes and Products Limited
TEXRAIL,Texmaco Rail & Engineering Limited
TFCILTD,Tourism Finance Corporation of India Limited
TFL,Transwarranty Finance Limited
TGBHOTELS,TGB Banquets And Hotels Limited
THANGAMAYL,Thangamayil Jewellery Limited
THEINVEST,The Investment Trust Of India Limited
THEMISMED,Themis Medicare Limited
THERMAX,Thermax Limited
THOMASCOOK,Thomas Cook  (India)  Limited
THOMASCOTT,Thomas Scott (India) Limited
THYROCARE,Thyrocare Technologies Limited
TI,Tilaknagar Industries Limited
TIDEWATER,Tide Water Oil Company (India) Limited
TIIL,Technocraft Industries (India) Limited
TIINDIA,Tube Investments of India Limited
TIJARIA,Tijaria Polypipes Limited
TIL,TIL Limited
TIMESGTY,Times Guaranty Limited
TIMETECHNO,Time Technoplast Limited
TIMKEN,Timken India Limited
TINPLATE,The Tinplate Company of India Limited
TIPSINDLTD,TIPS Industries Limited
TIRUMALCHM,Thirumalai Chemicals Limited
TIRUPATIFL,Tirupati Forge Limited
TITAN,Titan Company Limited
TMRVL,The Mandhana Retail Ventures Limited
TNPETRO,Tamilnadu PetroProducts Limited
TNPL,Tamil Nadu Newsprint & Papers Limited
TNTELE,Tamilnadu Telecommunication Limited
TOKYOPLAST,Tokyo Plast International Limited
TORNTPHARM,Torrent Pharmaceuticals Limited
TORNTPOWER,Torrent Power Limited
TOTAL,Total Transport Systems Limited
TOUCHWOOD,Touchwood Entertainment Limited
TPLPLASTEH,TPL Plastech Limited
TREEHOUSE,Tree House Education & Accessories Limited
TREJHARA,TREJHARA SOLUTIONS LIMITED
TRENT,Trent Limited
TRF,TRF Limited
TRIDENT,Trident Limited
TRIGYN,Trigyn Technologies Limited
TRIL,Transformers And Rectifiers (India) Limited
TRITURBINE,Triveni Turbine Limited
TRIVENI,Triveni Engineering & Industries Limited
TTKHLTCARE,TTK Healthcare Limited
TTKPRESTIG,TTK Prestige Limited
TTL,T T Limited
TTML,Tata Teleservices (Maharashtra) Limited
TV18BRDCST,TV18 Broadcast Limited
TVSELECT,TVS Electronics Limited
TVSMOTOR,TVS Motor Company Limited
TVSSRICHAK,TVS Srichakra Limited
TVTODAY,TV Today Network Limited
TVVISION,TV Vision Limited
TWL,Titagarh Wagons Limited
UBL,United Breweries Limited
UCALFUEL,Ucal Fuel Systems Limited
UCOBANK,UCO Bank
UFLEX,UFLEX Limited
UFO,UFO Moviez India Limited
UGARSUGAR,The Ugar Sugar Works Limited
UGROCAP,Ugro Capital Limited
UJAAS,Ujaas Energy Limited
UJJIVAN,Ujjivan Financial Services Limited
UJJIVANSFB,Ujjivan Small Finance Bank Limited
ULTRACEMCO,UltraTech Cement Limited
UMANGDAIRY,Umang Dairies Limited
UMESLTD,Usha Martin Education & Solutions Limited
UNICHEMLAB,Unichem Laboratories Limited
UNIDT,United Drilling Tools Limited
UNIENTER,Uniphos Enterprises Limited
UNIONBANK,Union Bank of India
UNITECH,Unitech Limited
UNITEDTEA,The United Nilgiri Tea Estates Company Limited
UNIVASTU,Univastu India Limited
UNIVCABLES,Universal Cables Limited
UNIVPHOTO,Universus Photo Imagings Limited
UPL,UPL Limited
URJA,Urja Global Limited
USHAMART,Usha Martin Limited
UTIAMC,UTI Asset Management Company Limited
UTTAMSTL,Uttam Galva Steels Limited
UTTAMSUGAR,Uttam Sugar Mills Limited
V2RETAIL,V2 Retail Limited
VADILALIND,Vadilal Industries Limited
VAIBHAVGBL,Vaibhav Global Limited
VAISHALI,Vaishali Pharma Limited
VAKRANGEE,Vakrangee Limited
VALIANTORG,Valiant Organics Limited
VARDHACRLC,Vardhman Acrylics Limited
VARDMNPOLY,Vardhman Polytex Limited
VARROC,Varroc Engineering Limited
VASCONEQ,Vascon Engineers Limited
VASWANI,Vaswani Industries Limited
VBL,Varun Beverages Limited
VEDL,Vedanta Limited
VENKEYS,Venky's (India) Limited
VENUSREM,Venus Remedies Limited
VERTOZ,Vertoz Advertising Limited
VESUVIUS,Vesuvius India Limited
VETO,Veto Switchgears And Cables Limited
VGUARD,V-Guard Industries Limited
VHL,Vardhman Holdings Limited
VICEROY,Viceroy Hotels Limited
VIDHIING,Vidhi Specialty Food Ingredients Limited
VIJIFIN,Viji Finance Limited
VIKASECO,Vikas EcoTech Limited
VIKASLIFE,Vikas Lifecare Limited
VIKASPROP,Vikas Proppant & Granite Limited
VIKASWSP,Vikas WSP Limited
VIMTALABS,Vimta Labs Limited
VINATIORGA,Vinati Organics Limited
VINDHYATEL,Vindhya Telelinks Limited
VINEETLAB,Vineet Laboratories Limited
VINYLINDIA,Vinyl Chemicals (India) Limited
VIPCLOTHNG,VIP Clothing Limited
VIPIND,VIP Industries Limited
VIPULLTD,Vipul Limited
VISAKAIND,Visaka Industries Limited
VISASTEEL,Visa Steel Limited
VISHAL,Vishal Fabrics Limited
VISHNU,Vishnu Chemicals Limited
VISHWARAJ,Vishwaraj Sugar Industries Limited
VIVIDHA,Visagar Polytex Limited
VIVIMEDLAB,Vivimed Labs Limited
VLSFINANCE,VLS Finance Limited
VMART,V-Mart Retail Limited
VOLTAMP,Voltamp Transformers Limited
VOLTAS,Voltas Limited
VRLLOG,VRL Logistics Limited
VSSL,Vardhman Special Steels Limited
VSTIND,VST Industries Limited
VSTTILLERS,V.S.T Tillers Tractors Limited
VTL,Vardhman Textiles Limited
WABAG,VA Tech Wabag Limited
WABCOINDIA,WABCO India Limited
WALCHANNAG,Walchandnagar Industries Limited
WANBURY,Wanbury Limited
WATERBASE,Waterbase Limited
WEALTH,Wealth First Portfolio Managers Limited
WEBELSOLAR,Websol Energy System Limited
WEIZMANIND,Weizmann Limited
WELCORP,Welspun Corp Limited
WELENT,Welspun Enterprises Limited
WELINV,Welspun Investments and Commercials Limited
WELSPUNIND,Welspun India Limited
WENDT,Wendt (India) Limited
WESTLIFE,Westlife Development Ltd
WHEELS,Wheels India Limited
WHIRLPOOL,Whirlpool of India Limited
WILLAMAGOR,Williamson Magor & Company Limited
WINDMACHIN,Windsor Machines Limited
WIPL,The Western India Plywoods Limited
WIPRO,Wipro Limited
WOCKPHARMA,Wockhardt Limited
WONDERLA,Wonderla Holidays Limited
WORTH,Worth Peripherals Limited
WSI,W S Industries (I) Limited
WSTCSTPAPR,West Coast Paper Mills Limited
XCHANGING,Xchanging Solutions Limited
XELPMOC,Xelpmoc Design And Tech Limited
XPROINDIA,Xpro India Limited
YAARII,Yaarii Digital Integrated Services Limited
YESBANK,Yes Bank Limited
ZEEL,Zee Entertainment Enterprises Limited
ZEELEARN,Zee Learn Limited
ZEEMEDIA,Zee Media Corporation Limited
ZENITHEXPO,Zenith Exports Limited
ZENSARTECH,Zensar Technologies Limited
ZENTEC,Zen Technologies Limited
ZODIACLOTH,Zodiac Clothing Company Limited
ZODJRDMKJ,Zodiac JRD- MKJ Limited
ZOMATO,Zomato Limited
ZOTA,Zota Health Care LImited
ZUARI,Zuari Agro Chemicals Limited
ZUARIGLOB,Zuari Global Limited
ZYDUSWELL,Zydus Wellness Limited
ABB,ABB India Limited
AEGISLOG,AEGIS LOGISTICS LTD.
AMARAJABAT,AMARA RAJA BATTERIES LTD.
AMBALALSA,AMBALAL SARABHAI ENTERPRISES LTD.
HDFC,HOUSING DEVELOPMENT FINANCE CORP.LTD.
ANDHRAPET,ANDHRA PETROCHEMICALS LTD.
ANSALAPI,ANSAL PROPERTIES & INFRASTRUCTURE LTD.
UTIQUE,Utique Enterprises Ltd
ARUNAHTEL,ARUNA HOTELS LTD.
BOMDYEING,BOMBAY DYEING & MFG.CO.LTD.
ASIANHOTNR,Asian Hotels (North) Limited
ATUL,ATUL LTD.
ATVPR,ATV PROJECTS INDIA LTD.
BAJAJELEC,BAJAJ ELECTRICALS LTD.-$
BAJAJHIND,Bajaj Hindusthan Sugar Limited
FORCEMOT,FORCE MOTORS LTD.-$
BAJFINANCE,Bajaj Finance Limited
BALRAMCHIN,BALRAMPUR CHINI MILLS LTD.
BANCOINDIA,BANCO PRODUCTS (INDIA) LTD.-$
CENTURYTEX,CENTURY TEXTILES & INDUSTRIES LTD.
BANARISUG,BANNARI AMMAN SUGARS LTD.
BASF,BASF INDIA LTD.
BATAINDIA,BATA INDIA LTD.
BEML,BEML LTD.
BEL,BHARAT ELECTRONICS LTD.
BEPL,BHANSALI ENGINEERING POLYMERS LTD.-$
TATASTLBSL,Tata Steel Bsl Ltd
BIHSPONG,BIHAR SPONGE IRON LTD.
BIRLACABLE,Birla Cable Ltd
BLUESTARCO,BLUE STAR LTD.
DISAQ,DISA INDIA LTD.
BNKCAP,BNK CAPITAL MARKETS LTD.
BPL,BPL LTD.
OAL,Oriental Aromatics Ltd-$
CENTEXT,CENTURY EXTRUSIONS LTD.
CESC,CESC LTD.
CHAMBLFERT,CHAMBAL FERTILISERS & CHEMICALS LTD.
EXIDEIND,EXIDE INDUSTRIES LTD.
CIPLA,CIPLA LTD.
DICIND,DIC INDIA LTD.
CRISIL,CRISIL LTD.
CGPOWER,CG Power and Industrial Solutions Ltd
DABUR,DABUR INDIA LTD.
DALMIASUG,Dalmia Bharat Sugar and Industries Ltd
ARVIND,ARVIND LTD.
BALLARPUR,BALLARPUR INDUSTRIES LTD.
BHEL,BHARAT HEAVY ELECTRICALS LTD.
HINDPETRO,HINDUSTAN PETROLEUM CORPORATION LTD.
IFCI,IFCI LTD.
MTNL,MAHANAGAR TELEPHONE NIGAM LTD.
MRPL,MANGALORE REFINERY & PETROCHEMICALS LTD.
CHENNPETRO,CHENNAI PETROLEUM CORPORATION LTD.
RELCAPITAL,RELIANCE CAPITAL LTD.
SBIN,STATE BANK OF INDIA
SAIL,STEEL AUTHORITY OF INDIA LTD.
TITAN,Titan Company Limited
IDBI,IDBI BANK LTD.
DCW,DCW LTD.
DHAMPURSUG,DHAMPUR SUGAR MILLS LTD.
DIAMINESQ,DIAMINES & CHEMICALS LTD.-$
ELANTAS,ELANTAS BECK INDIA LTD.-$
DRREDDY,DR.REDDY'S LABORATORIES LTD.
EIDPARRY,E.I.D.-PARRY (INDIA) LTD.
PGHL,Procter & Gamble Health Ltd
ELECTCAST,ELECTROSTEEL CASTINGS LTD.
ESABINDIA,ESAB INDIA LTD.
EPL,EPL Ltd
ESTER,ESTER INDUSTRIES LTD.
PHCAP,PH CAPITAL LTD.
FINCABLES,FINOLEX CABLES LTD.
COCKERILL,John Cockerill India Ltd-$
UFLEX,UFLEX LTD.
FOSECOIND,FOSECO INDIA LTD.
GOLDENTOBC,GOLDEN TOBACCO LTD.
GANESHBE,GANESH BENZOPLAST LTD.
METROGLOBL,Metroglobal Limited
GTL,GTL LTD.
GODFRYPHLP,GODFREY PHILLIPS INDIA LTD.
GODREJIND,GODREJ INDUSTRIES LTD.
KANSAINER,KANSAI NEROLAC PAINTS LTD.
GOODRICKE,GOODRICKE GROUP LTD.
GOODYEAR,GOODYEAR INDIA LTD.
GTNINDS,GTN INDUSTRIES LTD.
GHCL,GHCL LTD.
GFLLIMITED,GFL Ltd
GLFL,GUJARAT LEASE FINANCING LTD.
HCL-INSYS,HCL INFOSYSTEMS LTD.
HDFCBANK,HDFC Bank Ltd
HEROMOTOCO,HERO MOTOCORP LTD.
HFCL,HFCL Ltd
HSCL,Himadri Speciality Chemical Ltd
HCC,HINDUSTAN CONSTRUCTION CO.LTD.
HINDOILEXP,HINDUSTAN OIL EXPLORATION CO.LTD.
HSIL,HSIL LTD.
HINDZINC,HINDUSTAN ZINC LTD.
NXTDIGITAL,Nxtdigital Ltd
HMT,HMT LTD.
PRAGBOS,PRAG BOSIMI SYNTHETICS LTD.
HLVLTD,HLV Ltd
IGPL,I G PETROCHEMICALS LTD.
INDIAGLYCO,INDIA GLYCOLS LTD.
INDLEASE,INDIA LEASE DEVELOPMENT LTD.
MARGOFIN,Margo Finance Limited
INDORAMA,INDO RAMA SYNTHETICS (INDIA) LTD.
INFY*,INFOSYS LTD.
INGERRAND,INGERSOLL-RAND (INDIA) LTD.
INSILCO,INSILCO LTD.
IFSL,INTEGRATED FINANCIAL SERVICES LTD.
ITHL,INTERNATIONAL TRAVEL HOUSE LTD.-$
IONEXCHANG,ION EXCHANGE (INDIA) LTD.-$
ATFL,AGRO TECH FOODS LTD.
JISLJALEQS,JAIN IRRIGATION SYSTEMS LTD.
JASCH,JASCH INDUSTRIES LTD.
JCTLTD,JCT LTD.
JINDALPOLY,JINDAL POLY FILMS LTD.
JSWSTEEL,JSW STEEL LTD.
UMANGDAIR,UMANG DAIRIES LTD.
KAJARIACER,KAJARIA CERAMICS LTD.
KAKATCEM,KAKATIYA CEMENT SUGAR & INDUSTRIES LTD.
KSL,KALYANI STEELS LTD.
KANELIND,Kanel Industries Limited
WHIRLPOOL,WHIRLPOOL OF INDIA LTD.
KGDENIM,KG DENIM LTD.
KINETICENG,KINETIC ENGINEERING LTD.
KIRLOSBROS,KIRLOSKAR BROTHERS LTD.-$
KIRLOSIND,Kirloskar Industries Ltd
KIRLFER,KIRLOSKAR FERROUS INDUSTRIES LTD.
ENVAIREL,ENVAIR ELECTRODYNE LTD.
KOTAKBANK,KOTAK MAHINDRA BANK LTD.
KRIFILIND,Krishna Filament Industries Ltd
KSB,KSB Ltd
LGBBROSLTD,L.G.BALAKRISHNAN & BROS.LTD.
TRENT,TRENT LTD.
LAXMIMACH,LAKSHMI MACHINE WORKS LTD.
LICHSGFIN,LIC HOUSING FINANCE LTD.
LUPIN,LUPIN LTD.
LYKALABS,LYKA LABS LTD.
RAMCOCEM,The Ramco Cements Limited
MAFATIND,MAFATLAL INDUSTRIES LTD.-$
MAHSEAMLES,MAHARASHTRA SEAMLESS LTD.
MAHSCOOTER,MAHARASHTRA SCOOTERS LTD.
MAJESAUT,MAJESTIC AUTO LTD.-$
MANALIPETC,MANALI PETROCHEMICAL LTD.
MFSL,Max Financial Services Ltd
MESPHAR-B,MESCO PHARMACEUTICALS LTD.
MIRCELECTR,MIRC ELECTRONICS LTD.
CENTENKA,CENTURY ENKA LTD.
LORDSCHLO,LORDS CHLORO ALKALI LTD.
SPICEJET,SPICEJET LTD.
MOREPENLAB,MOREPEN LABORATORIES LTD.
MRF,MRF LTD.
HEIDELBERG,HEIDELBERGCEMENT INDIA LTD.
NCC,NCC Limited
VEDL,Vedanta Limited
NAHARSPING,NAHAR SPINNING MILLS LTD.
NATPEROX,NATIONAL PEROXIDE LTD.
GRASIM,GRASIM INDUSTRIES LTD.
PEL,PIRAMAL ENTERPRISES LTD.
NIITLTD,NIIT LTD.
JAYKAY,JAYKAY ENTERPRISES LTD.
NIRLON,NIRLON LTD.
ONGC,Oil and Natural Gas Corporation Ltd
OILCOUNTUB,OIL COUNTRY TUBULAR LTD.
ORIENTHOT,ORIENTAL HOTELS LTD.
OSWALAGRO,OSWAL AGRO MILLS LTD.
INDSUCR,INDIAN SUCROSE LTD.
RELIANCE,RELIANCE INDUSTRIES LTD.
PILITA,Pil Italica Lifestyle Ltd
RAYMOND,RAYMOND LTD.
PIDILITIND,PIDILITE INDUSTRIES LTD.
PIXTRANS,PIX TRANSMISSIONS LTD.
BIRLACORPN,BIRLA CORPORATION LTD.
SURYAROSNI,SURYA ROSHNI LTD.
PRIMESECU,PRIME SECURITIES LTD.
PRSMJOHNSN,Prism Johnson Ltd
RAIN,Rain Industries Ltd
AMJLAND,AMJ Land Holdings Ltd
PUNJCOMMU,PUNJAB COMMUNICATIONS LTD.-$
RSWM,RSWM LTD.
RAJSREESUG,RAJSHREE SUGARS & CHEMICALS LTD.
RALLIS,RALLIS INDIA LTD.
RAMANEWS,SHREE RAMA NEWSPRINT LTD.
RAMAPPR-B,RAMA PAPER MILLS LTD.
RAMAPETRO,RAMA PETROCHEMICALS LTD.
RAPICUT,RAPICUT CARBIDES LTD.
WELSPLSOL,Welspun Specialty Solutions Ltd
ROLTA,ROLTA INDIA LTD.
RUBFILA,RUBFILA INTERNATIONAL LTD.
RUCHISOYA,RUCHI SOYA INDUSTRIES LTD.
SALORAINTL,SALORA INTERNATIONAL LTD.
JINDALSAW,JINDAL SAW LTD.
JKLAKSHMI,JK LAKSHMI CEMENT LTD.
SHREECEM,SHREE CEMENT LTD.
SKPMIL,SHREE KRISHNA PAPER MILLS & INDUSTRIES LTD.
RELINFRA,RELIANCE INFRASTRUCTURE LTD.
TATAPOWER,TATA POWER CO.LTD.
SPMLINFRA,SPML Infra Limited
SUNDRMFAST,SUNDRAM FASTENERS LTD.
SUNFLAG,SUNFLAG IRON & STEEL CO.LTD.
SUPPETRO,SUPREME PETROCHEM LTD.
SWARAJENG,SWARAJ ENGINES LTD.
TATAELXSI,TATA ELXSI LTD.
ACC,ACC LTD.
THERMAX,THERMAX LTD.
TIRUMALCHM,THIRUMALAI CHEMICALS LTD.
THOMASCOOK,THOMAS COOK (INDIA) LTD.
TIMEX,TIMEX GROUP INDIA LTD.-$
TOKYOPLAST,TOKYO PLAST INTERNATIONAL LTD.
TORNTPHARM,TORRENT PHARMACEUTICALS LTD.
TRANSCHEM,TRANSCHEM LTD.-$
AMBUJACEM,AMBUJA CEMENTS LTD.
UTLINDS,UTL Industries Limited
UNIPHOS,UNIPHOS ENTERPRISES LTD.
VHL,VARDHMAN HOLDINGS LTD.
HINDALCO,HINDALCO INDUSTRIES LTD.
WSTCSTPAPR,WEST COAST PAPER MILLS LTD.
HOCL,HINDUSTAN ORGANIC CHEMICALS LTD.
MPILCORPL,MPIL CORPORATION LTD.
PASUPTAC,PASUPATI ACRYLON LTD.
KORE,Kore Foods Ltd
PGHH,PROCTER & GAMBLE HYGIENE & HEALTH CARE LTD.
MUKANDLTD,MUKAND LTD.
AGCNET,AGC Networks Limited
UCALFUEL,UCAL FUEL SYSTEMS LTD.
HARRMALAYA,HARRISONS MALAYALAM LTD.
FEDERALBNK,FEDERAL BANK LTD.
TATASTEEL,TATA STEEL LTD.
SKFINDIA,SKF India Ltd
ASHOKLEY,ASHOK LEYLAND LTD.
CUMMINSIND,CUMMINS INDIA LTD.
TATACOMM,TATA COMMUNICATIONS LTD.
ABBOTINDIA,ABBOTT INDIA LTD.
BAJAJHLDNG,BAJAJ HOLDINGS & INVESTMENT LTD.
BHARATFORG,BHARAT FORGE LTD.
ESCORTS,ESCORTS LTD.
HINDMOTORS,HINDUSTAN MOTORS LTD.
LT,LARSEN & TOUBRO LTD.
M&M,MAHINDRA & MAHINDRA LTD.
BOSCHLTD,BOSCH LTD.
PREMIER,PREMIER LTD.
BPCL,BHARAT PETROLEUM CORPORATION LTD.
SIEMENS,SIEMENS LTD.
TATAMOTORS,TATA MOTORS LTD.
VOLTAS,VOLTAS LTD.
GESHIP,GREAT EASTERN SHIPPING CO.LTD.
DEEPAKFERT,DEEPAK FERTILISERS & PETROCHEMICALS CORPORATION LTD.
EXCELINDUS,EXCEL INDUSTRIES LTD.
GRWRHITECH,Garware Hi-Tech Films Ltd
GLAXO,GLAXOSMITHKLINE PHARMACEUTICALS LTD.
GNFC,GUJARAT NARMADA VALLEY FERTILIZERS & CHEMICALS LTD.
NOVARTIND,NOVARTIS INDIA LTD.
SANOFI,Sanofi India Ltd
PFIZER,PFIZER LTD.
GSFC,GUJARAT STATE FERTILIZERS & CHEMICALS LTD.
HINDUNILVR,HINDUSTAN UNILEVER LTD.
AKZOINDIA,Akzo Nobel India Limited
NOCIL,NOCIL LTD.
TATACHEM,TATA CHEMICALS LTD.
TNPETRO,TAMILNADU PETROPRODUCTS LTD.
ZUARIGLOB,ZUARI GLOBAL LTD.
NESTLEIND,NESTLE INDIA LTD.
TATACONSUM,Tata Consumer Products Ltd
ASIANPAINT,ASIAN PAINTS LTD.
BRITANNIA,BRITANNIA INDUSTRIES LTD.
COLPAL,COLGATE-PALMOLIVE (INDIA) LTD.
EIHOTEL,EIH LTD.
INDHOTEL,INDIAN HOTELS CO.LTD.
CASTROLIND,CASTROL INDIA LTD.
ITC,ITC LTD.
APOLLOTYRE,APOLLO TYRES LTD.
CEATLTD,CEAT LTD.
MODIRUBBER,MODI RUBBER LTD.
FINOLEXIND,FINOLEX INDUSTRIES LTD.
SUNRINV,SUNRISE INDUSTRIAL TRADERS LTD.
ZGOLDINV,GOLD ROCK INVESTMENTS LTD.
PEOPLIN,PEOPLES INVESTMENTS LTD.
DSINVEST,DALAL STREET INVESTMENTS LTD.
CENTRUM,CENTRUM CAPITAL LTD.
KARTKIN,KARTIK INVESTMENTS TRUST LTD.
TCIFINANCE,TCI FINANCE LTD.
KRATOSENER,KRATOS ENERGY & INFRASTRUCTURE LTD.
ANTARIKSH,Antariksh Industries Ltd
IITL,INDUSTRIAL INVESTMENT TRUST LTD.
INDPRUD,INDUSTRIAL & PRUDENTIAL INVESTMENTS CO.LTD.
TATAINVEST,TATA INVESTMENT CORPORATION LTD.
JAYBHCR,JAYABHARAT CREDIT LTD.-$
PRISMX,Prismx Global Ventures Ltd
MOTOGENFIN,MOTOR & GENERAL FINANCE LTD.
RAPIDIN,RAPID INVESTMENTS LTD.
WALCHPF,WALCHAND PEOPLEFIRST LTD.
ZSWASTSA,SWASTIK SAFE DEPOSIT & INVESTMENTS LTD.
WHBRADY,W.H.BRADY & CO.LTD.
TECHNVISN,TECHNVISION VENTURES LTD.
SHAILY,SHAILY ENGINEERING PLASTICS LTD.
BBTC,BOMBAY BURMAH TRADING CORP.LTD.
BOMBCYC,BOMBAY CYCLE & MOTOR AGENCY LTD.
GREAVESCOT,GREAVES COTTON LTD.
MULLER,MULLER & PHIPPS (INDIA) LTD.
AMALGAM,AMALGAMATED ELECTRICITY CO.LTD.
ANANDPROJ,Anand Projects Ltd
INDIANVSH,INDIANIVESH LTD.
COASTCORP,COASTAL CORPORATION LTD.
CHOWGULSTM,CHOWGULE STEAMSHIPS LTD.
GLOBOFFS,GLOBAL OFFSHORE SERVICES LTD.-$
DHENUBUILD,DHENU BUILDCON INFRA LTD.
ASIIL,ASI Industries Ltd
SAGCEM,SAGAR CEMENTS LTD.-$
DECCANCE,DECCAN CEMENTS LTD.-$
MANGLMCEM,MANGALAM CEMENT LTD.
NCLIND,NCL INDUSTRIES LTD.-$
SAURASHCEM,SAURASHTRA CEMENT LTD.
SHREDIGCEM,SHREE DIGVIJAY CEMENT CO.LTD.-$
BOMBPOT,BOMBAY POTTERIES & TILES LTD.
BORORENEW,Borosil Renewables Ltd
LERTHAI,Lerthai Finance Ltd
RASSIREF,RAASI REFRACTORIES LTD.-$
TRIVENIGQ,TRIVENI GLASS LTD.-$
NILACHAL,NILACHAL REFRACTORIES LTD.
ANDHRAPAP,Andhra Paper Ltd
BALKRISIND,BALKRISHNA INDUSTRIES LTD.-$
ORIENTPPR,ORIENT PAPER & INDUSTRIES LTD.
CITADEL,CITADEL REALTY AND DEVELOPERS LTD.
ROLLT,ROLLATAINERS LTD.
SESHAPAPER,SESHASAYEE PAPER & BOARDS LTD.
SOLIDCO,SOLID CONTAINERS LTD.
SHBHAWPA,SHREE BHAWANI PAPER MILLS LTD.
NATHIND,Nath Industries Ltd
VAPIPPR,VAPI PAPER MILLS LTD.
SINTEX,SINTEX INDUSTRIES LTD.
DCM,DCM LTD.
ZGAEKWAR,GAEKWAR MILLS LTD.
FORBESCO,FORBES & COMPANY LTD.-$
HPCOTTON,H.P.COTTON TEXTILE MILLS LTD.
UNITEDINT,UNITED INTERACTIVE LTD.
KESORAMIND,KESORAM INDUSTRIES LTD.
LAKSHMIMIL,LAKSHMI MILLS COMPANY LTD.-$
VTL,VARDHMAN TEXTILES LTD.
PENINLAND,PENINSULA LAND LTD.
PASUSPG,PASUPATI SPG.& WVG.MILLS LTD.
PHOENIXLTD,The Phoenix Mills Ltd
MARATHON,MARATHON NEXTGEN REALTY LTD.
RAJABAH,RAJA BAHADUR INTERNATIONAL LTD.
RELCHEMQ,RELIANCE CHEMOTEX INDUSTRIES LTD.-$
RUBYMILLS,RUBY MILLS LTD.
SIMPLXREA,SIMPLEX REALTY LTD.
SWANENERGY,SWAN ENERGY LTD.
VICTMILL,VICTORIA MILLS LTD.
ZSVTRADI,S.V.TRADING & AGENCIES LTD.
ZSVARAJT,SVARAJ TRADING & AGENCIES LTD.
SALSAIN,SHREE SALASAR INVESTMENT LTD.
INDSOYA,INDSOYA LTD.
ZODIACVEN,Zodiac Ventures Limited
VEERENRGY,VEER ENERGY & INFRASTRUCTURE LTD.
SW1,SW Investments Ltd
TILAK,Tilak Ventures Ltd
KKFIN,K K Fincorp Limited
UNIJOLL,UNIJOLLY INVESTMENTS CO.LTD.
WAGEND,Wagend Infra Venture Limited
